dataset,method,stage,filter_rank,library_name,differentiation_name,threshold,field_nrmse,state_rmse,active_terms,interpretability_penalty,shift_corr,reference_shift_corr,long_horizon_max_norm,stable,score,pareto_efficient
kutz_cylinder,dmd_sindy,optimization,2,poly2,spectral,1.0,0.211847627321551,2.758683994309403,3,13.0,0.26984580962168303,1.0,148.5536662277998,True,2.206847627321551,False
kutz_cylinder,dmd_sindy,optimization,2,poly2_trig,spectral,1.0,0.211847627321551,2.758683994309403,3,13.0,0.26984580962168303,1.0,148.5536662277998,True,2.206847627321551,False
kutz_cylinder,dmd_sindy,optimization,2,poly2,finite_difference,1.0,0.21217330919094693,3.5708174801145414,3,13.005218184982885,0.26984580962168303,1.0,148.83642963951243,True,2.2079560369383797,False
kutz_cylinder,dmd_sindy,optimization,2,poly2_trig,finite_difference,1.0,0.21217330919094693,3.5708174801145414,3,13.005218184982885,0.26984580962168303,1.0,148.83642963951243,True,2.2079560369383797,False
kutz_cylinder,dmd_sindy,optimization,7,poly2,finite_difference,0.46415888336127775,0.2121648783612429,3.552121887912895,3,13.00536086879242,0.25948026692859444,1.0,148.8155817032306,True,2.207969008680106,False
kutz_cylinder,dmd_sindy,optimization,7,poly2,finite_difference,1.0,0.2121648783612429,3.552121887912895,3,13.00536086879242,0.25948026692859444,1.0,148.8155817032306,True,2.207969008680106,False
kutz_cylinder,dmd_sindy,optimization,7,poly3,finite_difference,0.46415888336127775,0.2121648783612429,3.552121887912895,3,13.00536086879242,0.25948026692859444,1.0,148.8155817032306,True,2.207969008680106,False
kutz_cylinder,dmd_sindy,optimization,7,poly2_trig,finite_difference,1.0,0.2121648783612429,3.552121887912895,3,13.00536086879242,0.25948026692859444,1.0,148.8155817032306,True,2.207969008680106,False
kutz_cylinder,dmd_sindy,optimization,2,poly2,tvregdiff,1.0,0.21164361908980484,2.096281389377114,3,13.011424745851265,0.26984580962168303,1.0,149.177700922118,True,2.2083573309674946,False
kutz_cylinder,dmd_sindy,optimization,2,poly2_trig,tvregdiff,1.0,0.21164361908980484,2.096281389377114,3,13.011424745851265,0.26984580962168303,1.0,149.177700922118,True,2.2083573309674946,False
kutz_cylinder,dmd_sindy,optimization,5,poly2_trig,finite_difference,1.0,0.21205657685838666,3.302632990808215,4,13.006478053236428,0.26503910920734924,1.0,149.04987170896246,True,2.223028284843851,False
